,Желаемая вакансия,Желаемая зарплата,Пол,Возраст,Местонахождения,Общий стаж,Работодатели,Ключевые навыки,Образование,Знание языков
10,Ведущий менеджер по продажам,35 000 руб.,Женщина,19 лет,НОГИНСК,Опыт работы 2 года 7 месяцев,"['РЕНЕССАНС КРЕДИТ', 'СБЕРБАНК', 'ЦЕНТР СОВРЕМЕННОЙ МЕДИЦИНЫ', 'САЛОН КРАСОТЫ “SUN""']","['ГРАМОТНАЯ РЕЧЬ', 'ОПЫТ В ПРОДАЖАХ', 'УМЕНИЕ УБЕЖДАТЬ', 'СПОСОБНОСТЬ К ОБУЧЕНИЕ И ВОСПРИЯТИЮ ИНФОРМАЦИИ', 'НАХОЖДЕНИЕ ПОДХОДА К КЛИЕНТУ', 'УМЕНИЕ ВЫСЛУШАТЬ СОБЕСЕДНИКА И ДАТЬ ЕМУ КОМПЕТЕНТНЫЙ СОВЕТ']",[],['РУССКИЙ']
11,Менеджер по продажам,50 000 руб.,Мужчина,40 лет,САНКТ-ПЕТЕРБУРГ,Опыт работы 10 лет 10 месяцев,"['ООО ""АП-ПРО""', 'ООО \'\'CИСТЕМА""', 'ООО ""СПЕЦПРИБОРСЕРВИС""', 'ООО ""ЛИКОФЛЕКС""']","['ХОЛОДНЫЕ ЗВОНКИ', 'УМЕНИЕ РАБОТАТЬ В КОМАНДЕ', 'АКТИВНЫЕ ПРОДАЖИ', 'ЗНАНИЕ ОФИСНЫХ ПРОГРАММ', 'ДИСЦИПЛИНИРОВАННОСТЬ', 'РАБОТА С ВОЗРАЖЕНИЯМИ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ЭЛЕКТРОННАЯ ПОЧТА', 'РАБОТА С БОЛЬШИМ ОБЪЕМОМ ИНФОРМАЦИИ', 'КОНСУЛЬТИРОВАНИЕ КЛИЕНТОВ ПО ТЕЛЕФОНУ']","['ТУ-8 (РЖЕВ)', 'ЧОУ ДО ""УЧЕБНЫЙ ЦЕНТР БАЗИС""']",['РУССКИЙ']
12,Менеджер по продажам,40 000 руб.,Женщина,25 лет,ВЛАДИМИР,Опыт работы 3 года 6 месяцев,"['ДИВАН.РУ', 'СИА ИНТЕРНЕЙШНЛ ЛТД', 'СБЕРБАНК', 'ООО ВОНТРЕЗАЛТ', 'ООО РЕГИОН ГАЗ', 'ПАО СБЕРБАНК', 'ООО ""ДИРЕКТ СТАР""']","['РАБОТА С ВОЗРАЖЕНИЯМИ', 'УПРАВЛЕНИЕ МОТИВАЦИЕЙ КЛИЕНТА', 'АКТИВНЫЕ ПРОДАЖИ', 'ВЕДЕНИЕ ДЕЛОВЫХ ПЕРЕГОВОРОВ', 'ГРАМОТНАЯ РЕЧЬ', 'ЗНАНИЕ ТЕХНОЛОГИЙ И МЕТОДОВ ПРОДАЖ', 'B2C ПРОДАЖИ', 'B2B ПРОДАЖИ', 'ХОЛОДНЫЕ ПРОДАЖИ', '1С: ДОКУМЕНТООБОРОТ', 'MS EXCEL', 'MS WORD']","['ВЛАДИМИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. А.Г. И Н.Г. СТОЛЕТОВЫХ, ВЛАДИМИР']",['РУССКИЙ']
13,Менеджер по продажам,35 000 руб.,Мужчина,28 лет,ЕКАТЕРИНБУРГ,Опыт работы 5 лет,"['БОУЗ ГРУПП', 'ООО ""ПАРК КТ""', 'ООО ""МАРКЕТПЛЕЙС""', 'ТРАНСПОРТНАЯ КОМПАНИЯ ООО «ИМЭКС»', 'ЦЕНТР СВАРОЧНЫХ ТЕХНОЛОГИЙ']",,"['ЧЕЛЯБИНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ЧЕЛЯБИНСК']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
14,Менеджер по продажам,70 000 руб.,Женщина,24 года,МОСКВА,Опыт работы 4 года,"['ООО ""ОТЕЛЬЕР-СЕРВИС"" КОМПАНИ', 'ООО ""ЦРВ""', 'ООО ""ЗЕЛЕНЫЙ ГОРОД""', 'ТОО ""ЛС ИНВЕСТ""']","['УМЕНИЕ РАБОТАТЬ В КОЛЛЕКТИВЕ', 'ТОЧНОСТЬ И ВНИМАТЕЛЬНОСТЬ К ДЕТАЛЯМ', 'ГРАМОТНАЯ РЕЧЬ', 'ПУНКТУАЛЬНОСТЬ', 'БЫСТРАЯ ОБУЧАЕМОСТЬ', 'КОММУНИКАБЕЛЬНОСТЬ', 'CRM', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'НАВЫКИ ПРОДАЖ', '1С-БИТРИКС', 'РАБОТА НА ВЫСТАВКАХ', 'ПОДГОТОВКА КОММЕРЧЕСКИХ ПРЕДЛОЖЕНИЙ', 'КОНСУЛЬТИРОВАНИЕ']","['КГУ ""КОЛЛЕДЖ ИНДУСТРИИ, ТУРИЗМА И СЕРВИСА""']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
15,Менеджер по продажам удалённо ,60 000 руб.,Мужчина,24 года,МОСКВА,Опыт работы 3 года 1 месяц,"['TEAM28', 'МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ ЦЕНТР', 'ТИНЬКОФФ БАНК', 'КОНТАКТ СЕРВИС']","['B2C ПРОДАЖИ', 'B2B ПРОДАЖИ', 'CRM', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'ОРГАНИЗАЦИЯ ВСТРЕЧ', 'ДОКУМЕНТАЛЬНОЕ СОПРОВОЖДЕНИЕ', 'РУКОВОДСТВО КОЛЛЕКТИВОМ', 'ОБУЧЕНИЕ ПЕРСОНАЛА', 'ОБУЧЕНИЕ КОМАНДЫ ПРОДАЖ']","['ПСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ПСКОВ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
16,Менеджер по продажам автозапчастей,45 000 руб.,Мужчина,42 года,МОСКВА,Опыт работы 18 лет 11 месяцев,"['AUTOPARTS-TO', 'ООО АВТОРАЗБОРМСК РАЗБОРКИНО', 'ООО ГК КАМИОН', 'ООО ВЕРШИНА УСПЕХА', 'ООО ТД ПОДШИПНИКОВЫЙ АЛЬЯНС', 'ООО ТЕХНОФЛОТ', 'ООО АЛТЭК МОСКВА', 'ООО ЦЕНТР ПОДШИПНИК КОНТРАКТ', 'ООО ДИАГНОСТИЧЕСКИЕ СИСТЕМЫ', 'ОАО ВИММ-БИЛЛЬ- ДАНН']","['ОТВЕТСТВЕННОСТЬ', 'СТРЕССОУСТОЙЧИВОСТЬ']","['МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПРИКЛАДНОЙ БИОТЕХНОЛОГИИ, МОСКВА', 'МЕНЕДЖМЕНТ ПРОДАЖ С ИСПОЛЬЗОВАНИЕМ 1С ПРЕДПРИЯТИЕ 8,2']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
17,Менеджер по продажам,50 000 руб.,Мужчина,32 года,БАРНАУЛ,Опыт работы 8 лет 11 месяцев,"['ЕВРОЗВУК', 'АТОН, ООО', 'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ МЕЖДУНАРОДНЫЙ КЛУБ ""АВТО""', 'АГЕНСТВО НЕДВИЖИМОСТИ ЖИЛФОНД']","['ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'РАБОТА В КОМАНДЕ', 'ПОДГОТОВКА КОММЕРЧЕСКИХ ПРЕДЛОЖЕНИЙ', 'СОСТАВЛЕНИЕ ДОГОВОРОВ', 'РАБОТА С ОРГТЕХНИКОЙ', 'УПРАВЛЕНИЕ ОТНОШЕНИЯМИ С КЛИЕНТАМИ', 'ПУБЛИЧНЫЕ ВЫСТУПЛЕНИЯ', 'РАБОТА С БАЗАМИ ДАННЫХ', 'ДЕЛОВАЯ КОММУНИКАЦИЯ', 'УМЕНИЕ РАБОТАТЬ В КОМАНДЕ', 'РАБОТА С ЖАЛОБАМИ КЛИЕНТОВ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'НАВЫКИ ПРОДАЖ', 'ПРЯМЫЕ ПРОДАЖИ', 'РАБОТА С ВОЗРАЖЕНИЯМИ', 'АНАЛИТИКА ПРОДАЖ', 'ДЕЛОВАЯ ЭТИКА', 'ВЕДЕНИЕ ОТЧЕТНОСТИ', 'ЗНАНИЕ ТЕХНИКИ ПРОДАЖ', 'ПОДГОТОВКА ПРЕЗЕНТАЦИЙ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'ДОКУМЕНТАЛЬНОЕ СОПРОВОЖДЕНИЕ', 'КОНСУЛЬТИРОВАНИЕ', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'ХОЛОДНЫЕ ЗВОНКИ']","['НОВОСИБИРСКОЕ ВЫСШЕЕ ВОЕННОЕ КОМАНДНОЕ УЧИЛИЩЕ (ВОЕННЫЙ ИНСТИТУТ) (ФИЛИАЛ) ВОЕННОГО УЧЕБНО-НАУЧНОГО ЦЕНТРА СУХОПУТНЫХ ВОЙСК ""ОБЩЕВОЙСКОВАЯ АКАДЕМИЯ ВООРУЖЕННЫХ СИЛ РОССИЙСКОЙ ФЕДЕРАЦИИ"", НОВОСИБИРСК']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
18,Менеджер-по продажам ,50 000 руб.,Мужчина,22 года,МОСКВА,Опыт работы 2 года 7 месяцев,"['АТЛАНТ-ПРАВО, ООО', 'АЛЬФА-СЕРВИС', 'МВД']",['ДЕЛОВОЕ ОБЩЕНИЕ'],"['МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ, МОСКВА']",['РУССКИЙ']
19,менеджер по продажам,30 000 руб.,Мужчина,25 лет,САМАРА,Опыт работы 4 года 10 месяцев,"['ООО НПП «ПРОМТЭК""', 'АО «ТД ТРАКТ»', 'HEINEKEN', 'ООО РУСКАН-АС', 'РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ', 'РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ']","['АКТИВНЫЕ ПРОДАЖИ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'РАБОТА С ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТЬЮ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'CRM', 'ПРЯМЫЕ ПРОДАЖИ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'РАБОТА В КОМАНДЕ', 'РАЗВИТИЕ ПРОДАЖ', 'УЧАСТИЕ В ТЕНДЕРАХ', '1С: ТОРГОВЛЯ']",['САМТЖТ'],['РУССКИЙ']
20,Менеджер по продажам ,70 000 руб.,Женщина,22 года,МОСКВА,Опыт работы 2 года 6 месяцев,"['ASTRELLIA BEAUTY', 'PERMANENT GREAT', 'ONEFIVE STUDIO']","['КОММУНИКАБЕЛЬНОСТЬ', 'РАЦИОНАЛЬНОСТЬ', 'УВЕРЕННЫЙ ПОЛЬЗОВАТЕЛЬ ПК', 'СПОСОБНОСТЬ К СОЗДАНИЮ ДРУЖЕСТВЕННОЙ ОБСТАНОВКИ', 'ПУНКТУАЛЬНОСТЬ', 'СТАБИЛЬНОСТЬ', 'ГРАМОТНАЯ РЕЧЬ']","['РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНЫЙ УНИВЕРСИТЕТ, МОСКВА', 'КУРС ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ПРОДАЖНИКА']","['РУССКИЙ', 'АНГЛИЙСКИЙ', 'ФРАНЦУЗСКИЙ']"
21,Менеджер по продажам,40 000 руб.,Женщина,29 лет,КРАСНОДАР,Опыт работы 4 года 1 месяц,"['ООО ""ЛУЧИДО""', 'ООО"" МОСПЛИТКА""', 'ПОЛЯКОВ МЕБЕЛЬ', 'КОМПАНИЯ БЕЛФАН, ООО', 'ТОРГОВЫЙ ДОМ ЛАЗУРИТ, ООО']","['ЗНАНИЕ НЕМЕЦКОГО ЯЗЫКА (СРЕДНИЙ УРОВЕНЬ), УМЕНИЕ РАБОТАТЬ С ЛЮДЬМИ.', 'ПОЛЬЗОВАТЕЛЬ ПК', '1С: ТОРГОВЛЯ', '3CAD']","['СМОЛЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, СМОЛЕНСК', 'ДИЗАЙН ИНТЕРЬЕРА']","['РУССКИЙ', 'АНГЛИЙСКИЙ', 'НЕМЕЦКИЙ']"
22,Менеджер по продажам,100 000 руб.,Мужчина,25 лет,МОСКВА,Опыт работы 4 года 7 месяцев,"['АВТОСПОТ', 'ООО «КОМПАНИЯ СТТ-АВТО""', 'ГК ГРОСС АВТО', 'ТЕХНОГРЕЙД ФОРКЛИФТ', 'ООО АВТО ФЛИТ', 'ОЛИМП 56']","['НАВЫКИ ПРОДАЖ', 'ПРЯМЫЕ ПРОДАЖИ', 'СОПРОВОЖДЕНИЕ КЛИЕНТОВ', 'КОНСУЛЬТИРОВАНИЕ', 'АКТИВНЫЕ ПРОДАЖИ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'ГРАМОТНАЯ РЕЧЬ', 'TRADE-IN', 'ВЫДАЧА АВТОМОБИЛЯ']",['ГПБОУ КГТИТ СК41'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
23,Менеджер по продажам,65 000 руб.,Женщина,42 года,МОСКВА,Опыт работы 5 лет 4 месяца,"['ООО ""ТД МОСОБЛСТРОЙ-31""', 'ООО РАДУГА']","['КОММУНИКАТИВНЫЕ НАВЫКИ', 'АКТИВНЫЕ ПРОДАЖИ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'ВЕДЕНИЕ АКТИВНЫХ КЛИЕНТОВ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ПРЯМЫЕ ПРОДАЖИ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ']","['ДОНЕЦКИЙ ИНСТИТУТ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ, ДОНЕЦК (УКРАИНА)']","['РУССКИЙ', 'УКРАИНСКИЙ', 'ФРАНЦУЗСКИЙ']"
24,Менеджер по продажам,75 000 руб.,Мужчина,40 лет,ЩЕЛКОВО,Опыт работы 15 лет 10 месяцев,"['АЭРОСИБСЕРВИС', 'ООО ""ГИДРОДОКТОР""', 'НЕКО-ТРЕЙД, ООО', 'ООО ""ГАММА"", ВЭД']",,['МОСКОВСКИЙ ЭНЕРГЕТИЧЕСКИЙ ИНСТИТУТ (ТУ)'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
